City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
209,Tampere,FI,85.71,61.4991,23.7871,Holiday Club Tampere Spa
210,Puerto Del Rosario,ES,82.15,28.5004,-13.8627,Hotel JM Puerto del Rosario
212,Sao Miguel Do Araguaia,BR,88.36,-13.275,-50.1628,Hotel Executivo Palace
213,Loandjili,CG,76.17,-4.7561,11.8578,Résidence ARCHANGE
214,Faya,SA,82.51,18.3851,42.4509,املاك خالد الشعشوع
215,Saint-Denis,FR,81.93,48.9167,2.3333,ibis budget Paris Porte de Montmartre
216,Presidencia Roque Saenz Pena,AR,78.93,-26.7852,-60.4388,Hotel Gualok
218,Luena,AO,82.87,-11.7833,19.9167,Hotel Kandamba
219,Dingle,PH,78.4,10.9995,122.6711,SEGAYA PROPERTY
220,Westport,US,88.09,41.1415,-73.3579,The Westport Inn
221,Eyl,SO,84.72,7.9803,49.8164,Amiin Hotel
222,Ayni,TJ,88.86,39.3941,68.5377,Dilovars Homestay
