City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Waiouru,NZ,2022-07-21 13:50:27,-39.4833,175.6667,35.55,98,100,3.15
240,Te Anau,NZ,2022-07-21 13:50:27,-45.4167,167.7167,34.59,92,47,2.17
241,Tanga,TZ,2022-07-21 13:50:27,-5.0667,39.1,77.25,68,43,13.33
242,Ostrovnoy,RU,2022-07-21 13:50:28,68.0531,39.5131,55.98,77,63,5.64
243,La Libertad,EC,2022-07-21 13:50:28,-2.2333,-80.9,67.66,83,100,10.36
244,North Augusta,US,2022-07-21 13:50:28,33.5018,-81.9651,83.34,77,75,11.5
245,Kurchum,KZ,2022-07-21 13:50:28,48.5722,83.6542,75.61,34,100,6.04
246,Alyangula,AU,2022-07-21 13:50:29,-13.8483,136.4192,66.52,68,24,10.69
247,Olinda,BR,2022-07-21 13:45:39,-8.0089,-34.8553,73.13,88,100,13.8
248,Mecca,SA,2022-07-21 13:50:29,21.4267,39.8261,98.49,31,6,10.78
249,Kirkcudbright,GB,2022-07-21 13:50:29,54.8383,-4.0491,61.68,72,100,4.23
250,Zhaotong,CN,2022-07-21 13:50:30,27.3167,103.7167,64.13,90,44,4.97
251,Ismailia,EG,2022-07-21 13:50:30,30.6043,32.2723,93.27,31,0,11.5
252,Mazatlan,MX,2022-07-21 13:50:30,23.2167,-106.4167,87.03,89,94,1.01
253,Bubaque,GW,2022-07-21 13:50:31,11.2833,-15.8333,78.98,83,67,12.93
254,Glace Bay,CA,2022-07-21 13:50:31,46.1969,-59.957,78.89,60,20,11.5
255,Novoplatnirovskaya,RU,2022-07-21 13:50:31,46.1065,39.4191,80.87,26,0,15.05
256,Dryden,CA,2022-07-21 13:45:51,49.7833,-92.7503,66.49,72,0,9.22
257,Sheridan,US,2022-07-21 13:50:32,44.8333,-106.9173,80.31,67,0,0.0
258,Kruisfontein,ZA,2022-07-21 13:50:32,-34.0033,24.7314,60.89,55,0,5.68
259,Arraial Do Cabo,BR,2022-07-21 13:49:26,-22.9661,-42.0278,71.46,83,75,5.75
260,Saint Anthony,US,2022-07-21 13:45:52,45.0205,-93.218,75.99,66,75,12.66
261,Baykit,RU,2022-07-21 13:50:32,61.67,96.37,61.79,71,94,2.33
262,Ixtapa,MX,2022-07-21 13:50:33,20.7,-105.2,83.23,83,48,2.33
263,Le Portel,FR,2022-07-21 13:48:04,50.7056,1.5757,77.99,68,7,12.8
264,Mehamn,NO,2022-07-21 13:50:33,71.0357,27.8492,60.75,77,20,2.3
265,Saint-Francois,FR,2022-07-21 13:50:33,46.4154,3.9054,81.84,47,0,5.75
266,Lorengau,PG,2022-07-21 13:50:34,-2.0226,147.2712,80.28,78,100,2.86
